KEY	VALUE	COMMENTS
__id	jp	en		
__name	日本語	English	
button.play	プレイ
mod.crew-experience	部下たちの経験（{details}）による補正： {delta}
mod.crew-unpaid	給料未払いによる補正： {delta}
mod.crew-recent-arrest	最近の逮捕による補正： {delta}
mod.crew-recent-injury	最近の負傷による補正： {delta}
mod.person-same-eth	同民族であることによる補正： {delta}
mod.person-diff-eth	異民族であることによる補正： {delta}
mod.person-rel-yes	親族であることによる補正： {delta}
mod.person-rel-no	赤の他人であることによる補正： {delta}
mod.vehicle-modules-capacity-mod	店舗の駐車スペースによる補正： {delta}
mod.crew-vehicle-condition	車両の状態による補正： {delta}
mod.crew-vehicle-type	車種による補正： {delta}
mod.crew-vehicle-template	車両モデルによる補正： {delta}
mod.capacity-overrun-crew	構成員の過剰管理によるペナルティ： {delta}
mod.capacity-overrun-car	乗用車の過剰所有によるペナルティ： {delta}
mod.capacity-overrun-truck	トラックの過剰所有によるペナルティ： {delta}
mod.capacity-overrun-vehicle	車両の過剰所有によるペナルティ： {delta}
mod.ai-aggro-level	抗争の激しさによる補正： {delta}
mod.ai-aggro-time	抗争期間による補正： {delta}
mod.player-installed-module.cider	ハードサイダー事業の拡張による補正： {delta}
mod.player-installed-module.brick-wine	レンガ・ワイン事業の拡張による補正： {delta}
mod.player-installed-module.home-brew	自家製ビール事業の拡張による補正： {delta}
mod.player-installed-module.moonshine	ムーンシャイン事業の拡張による補正： {delta}
mod.add-player-counter-mod.from-gamblers	借金のあるギャンブラーによる補正： {delta}
mod.num-casinos-in-precinct	管轄区内の賭場数による補正： {delta}
mod.crew-role	組織内での「{role}」の役割による補正： {delta}
mod.manager-role	管理人としての「{role}」の役割による補正： {delta}
mod.chapter-success	計画の「{chapter}」段階完了による補正： {delta}
mod.law-mod	条例「{law}」による補正： {delta}
mod.law-mod.1	条例「{law}」による補正： {delta}
mod.unspecified	詳細不明

	;; 親族・関係性

reltype.m	赤の他人
reltype.f	赤の他人
reltype.self.m	彼自身
reltype.self.f	彼女自身
reltype.self.human.m	お前自身
reltype.self.human.f	お前自身
reltype.spouse.m	夫
reltype.spouse.f	妻
reltype.child.m	息子
reltype.child.f	娘
reltype.mother.f	母親
reltype.father.m	父親
reltype.sibling.m	兄弟
reltype.sibling.f	姉妹
reltype.mothersib.m	叔父
reltype.mothersib.f	叔母
reltype.fathersib.m	叔父
reltype.fathersib.f	叔母
reltype.sibchild.m	甥
reltype.sibchild.f	姪
reltype.cousin.m	従兄弟
reltype.cousin.f	従姉妹
reltype.acquaintance.m	知り合い
reltype.acquaintance.f	知り合い

reltype.toyou.m	お前との縁はない
reltype.toyou.f	お前との縁はない
reltype.toyou.self.m	お前自身
reltype.toyou.self.f	お前自身
reltype.toyou.spouse.m	お前の夫
reltype.toyou.spouse.f	お前の妻
reltype.toyou.child.m	お前の息子
reltype.toyou.child.f	お前の娘
reltype.toyou.mother.f	お前の母親
reltype.toyou.father.m	お前の父親
reltype.toyou.sibling.m	お前の兄弟
reltype.toyou.sibling.f	お前の姉妹
reltype.toyou.mothersib.m	お前の叔父
reltype.toyou.mothersib.f	お前の叔母
reltype.toyou.fathersib.m	お前の叔父
reltype.toyou.fathersib.f	お前の叔母
reltype.toyou.sibchild.m	お前の甥
reltype.toyou.sibchild.f	お前の姪
reltype.toyou.cousin.m	お前の従兄弟
reltype.toyou.cousin.f	お前の従姉妹
reltype.toyou.acquaintance.m	お前の知り合い
reltype.toyou.acquaintance.f	お前の知り合い


	;; 単位

unit.none	{qty}
unit.case	{qty} ケース
unit.case.1	{qty} ケース
unit.bottle	{qty} 本
unit.bottle.1	{qty} 本
unit.barrel	{qty} 樽
unit.barrel.1	{qty} 樽
unit.sack	{qty} 袋
unit.sack.1	{qty} 袋
unit.carton	{qty} カートン
unit.carton.1	{qty} カートン
unit.bushel	{qty} ブッシェル
unit.bushel.1	{qty} ブッシェル
unit.tray	{qty} トレイ
unit.tray.1	{qty} トレイ
unit.box	{qty} 箱
unit.box.1	{qty} 箱
unit.side	{qty} サイド
unit.side.1	{qty} サイド
unit.crate	{qty} 木箱
unit.crate.1	{qty} 木箱
unit.bundle	{qty} 束
unit.bundle.1	{qty} 束
unit.crock	{qty} 瓶（クロック）
unit.crock.1	{qty} 瓶（クロック）
unit.tire	{qty} 本（タイヤ）
unit.tire.1	{qty} 本（タイヤ）
unit.half-barrel	{qty} 小樽
unit.half-barrel.1	{qty} 小樽
unit.weapon	{qty} 個
unit.weapon.1	{qty} 個


	;; 武器

weapon.fists.name	素手
weapon.fists.listname	素手
weapon.fists.desc	不意打ちは好かれんが、こちらの意志を伝えるには十分だ
weapon.fists.icon	<sprite name="ui weapon fist">
weapon.knife.name	ポケットナイフ
weapon.knife.listname	ポケットナイフ
weapon.knife.desc	至近距離では危険な凶器。相手を切り刻むことができる
weapon.knife.icon	<sprite name="ui weapon knife">
weapon.switchblade.name	スウィッチブレイド
weapon.switchblade.listname	スウィッチブレイド
weapon.switchblade.desc	隠し持てる刃。より密かに、より鋭く
weapon.bat.name	野球バット
weapon.bat.listname	野球バット
weapon.bat.desc	重い鈍器。骨を砕くには最適だ
weapon.bat.icon	<sprite name="ui weapon bat">
weapon.billy-club.name	警棒（ビリークラブ）
weapon.billy-club.listname	警棒
weapon.billy-club.desc	効果的な木製の鈍器。店主との「みかじめ料」の交渉時に、より説得力を持たせることができる
weapon.crowbar.name	バール
weapon.crowbar.listname	バール
weapon.crowbar.desc	容易に深い傷を負わせることができる
weapon.crowbar.icon	<sprite name="ui weapon crowbar">
weapon.colt.name	コルト
weapon.colt.listname	コルト拳銃
weapon.colt.desc	隠し持ちやすい火器。すべての銃器は致命傷を与える
weapon.colt.icon	<sprite name="ui weapon colt">
weapon.winchester.name	ウィンチェスター
weapon.winchester.listname	ウィンチェスター・ライフル
weapon.winchester.desc	強力で信頼の厚い名銃。すべての銃器は致命傷を与える
weapon.winchester.icon	<sprite name="ui weapon winchester">
weapon.thompson.name	トンプソン
weapon.thompson.listname	トンプソン・サブマシンガン
weapon.thompson.desc	極めて速く、致命的。すべての銃器は致命傷を与える
weapon.thompson.icon	<sprite name="ui weapon thompson">
weapon.pistol.icon	<sprite name="ui weapon pistol">
weapon.pistol.name	ポケットピストル
weapon.pistol.listname	ポケットピストル
weapon.pistol.desc	ベストのポケットに収まる小口径拳銃。狙いを外しやすいのが欠点だ。すべての銃器は致命傷を与える
;; モジュール（シノギの設備）

modulerespect.none	このシノギは規模が小さすぎて、界隈での面目（リスペクト）を上げるには至らん。
modulerespect.low	商売の周辺エリアで、お前の面目をわずかに上昇させる。
modulerespect.med	商売の周辺エリアで、お前の面目をそれなりに上昇させる。
modulerespect.high	商売の周辺エリアで、お前の面目を劇的に上昇させる。

module.addpopup.back	裏家業の設営
module.addpopup.upgrade	シノギのアップグレード
module.addpopup.build-confirm	この建物の奥には空きスペースがあるぞ。何か建設するか？

module.mgmt.none	なし
module.mgmt.available	部下を管理人として配属し、このシノギの効率を上げろ。
module.mgmt.unavailable	構成員が増えれば、シノギを強化するための管理人を雇えるようになるぞ。
module.mgmt.desc	{name}\n{relstr}\n<size=75%>{traits}\n{levelups}</size>

module.add.confirm.name	<b>{name}</b>\n\n
module.add.confirm.upgrade	<i>これは既存のシノギ「{existing}」のアップグレードだ。</i>\n\n
module.add.confirm.upgrade.perform	このアップグレードを実行するか？\n
module.add.confirm.new.install	このシノギを設営するか？\n
module.add.daysmsg	建設には {days} 日間（ {turns} ターン）かかる。
module.add.default	詳細を見るには左側のモジュールを選択しろ。

module.occupied.tag-biz-front.mo	この控えめな店構えは、最高の隠れ蓑になるだろう。
module.occupied.tag-biz-back.mo	建物の奥でどんな商売が行われているか、誰も知る必要はない。
module.occupied.tag-inventory-small.mo	この建物には、わずかな保管スペースがある。
module.occupied.tag-inventory-medium.mo	この建物には、かなりの保管スペースがある。
module.occupied.tag-inventory-large.mo	この建物には、広大な保管スペースがある。

module.available.tag-biz-front.mo	表通りの店舗が空いている。有効活用できそうだ。
module.available.tag-biz-back.mo	建物の奥には広大なスペースがある。サツの目を盗むには最適だ。
module.available.tag-inventory-small.mo	この建物には、何かに使えそうな小規模な倉庫スペースがある。
module.available.tag-inventory-medium.mo	この建物には、未使用のそれなりに広い倉庫スペースがある。
module.available.tag-inventory-large.mo	この建物には広大な倉庫スペースがあるが、今は完全に無駄になっている。

	;; 倉庫・保管庫
module.inventory-back-room.name	隠しクローゼット
module.inventory-back-room.desc	隠された物置だ。少量のブツを保管できる。
module.inventory-basement-small.name	小規模商業倉庫
module.inventory-basement-small.desc	この商業ビルには、いくらかの保管スペースがある。
module.inventory-basement-medium.name	中規模商業倉庫
module.inventory-basement-medium.desc	この商業ビルには、適度な広さの保管スペースがある。
module.inventory-basement-large.name	大規模商業倉庫
module.inventory-basement-large.desc	この商業ビルには、かなりの広さの倉庫エリアがある。
module.inventory-warehouse-small.name	小規模工業倉庫
module.inventory-warehouse-small.desc	この工業ビルには、いくらかの保管スペースがある。
module.inventory-warehouse-medium.name	中規模工業倉庫
module.inventory-warehouse-medium.desc	この工業ビルには、適度な広さの保管スペースがある。
module.inventory-warehouse-large.name	大規模工業倉庫
module.inventory-warehouse-large.desc	この工業ビルには、広大な倉庫エリアがある。

module.explanation-inventory-improved.name	倉庫の拡張
module.explanation-inventory-improved.desc	建物の奥を<b>追加の倉庫</b>に改造したぞ。\n\n「在庫」タブに切り替えて、この建物の総容量と保管されている全アイテムを確認しろ。

	;; ガレージ・車両関連
module.garage-small-car-repair.name	街角のサービスステーション
module.garage-small-car-repair.desc	地元の整備工場だ。お前の車をメンテナンスできる。

module.player-garage-module-small.name	小さなガレージ
module.player-garage-module-small.desc	数台の車両を駐車・修理できるスペース。空きがあれば配送トラックの購入が可能になる。
module.player-garage-module-small.details	建物の裏を開放し、駐車スペースと修理ベイを確保する。管理できる車両数が増え、修理も可能になる。配送トラックの購入条件も満たせるぞ。

module.player-garage-module-medium.name	中規模ガレージ
module.player-garage-module-medium.desc	拡張されたガレージ。車両部隊を増強できる。トラックの購入も可能だ。
module.player-garage-module-medium.details	建物の裏にあるガレージを拡張し、管理可能な車両数をさらに増やす。配送トラックの購入も可能になる。

module.player-truck-garage-small.name	小規模トラック修理ベイ
module.player-truck-garage-small.desc	トラックをより多く運用できるようになる。トラックの購入も可能だ。
module.player-truck-garage-small.details	配送トラックの複雑な機構を維持するために必要な専門設備を導入する。これでより多くのトラックを動かせるようになる。

module.player-truck-garage-improved.name	強化トラック修理ベイ
module.player-truck-garage-improved.desc	より大型のトラックや、大規模な車団をサポートできる。
module.player-truck-garage-improved.details	修理ベイをアップグレードすることで、車団の規模を拡大し、大型トラックの導入も検討できるようになる。

module.car-dealer-used-car-lot.name	中古車販売店
module.car-dealer-used-car-lot.desc	小規模な中古車を売っている。店構えを見る限り、ごく平凡な店だ。

module.car-dealer-regular.name	自動車ディーラー
module.car-dealer-regular.desc	新車やピックアップトラックを販売している正規のディーラーだ。

module.car-dealer-garage-module.name	ディーラーの整備工場
module.car-dealer-garage-module.desc	建物の奥にある、いくつかの修理ベイだ。

module.truck-garage.name	積み込み用ドック
module.truck-garage.desc	配送トラックの荷積み・荷下ろしを行う場所だ。
module.truck-dispatch.name	配送管理事務所
module.truck-dispatch.desc	クリップボード、電話、机、掲示板、そして送り状の山。街中に商品を届けるトラックを忙しなく差配している事務所だ。

	;; 建設・運営詳細
module.install.construct-time	\n建設には {turns} ターン（ {days} 日間）かかる。

module.row.consume.quiet	表向きは規律正しく運営されている店舗だ。申し分ない隠れ蓑になるが、それ以外の利益は期待できん。
module.row.consume.var-revenues	変動収益
module.row.consume.text	 {consumeDays} 日ごと（ {consumeTurns} ターン）
module.row.consume.text.mo	収益： {consumeDays} 日ごと（ {consumeTurns} ターン）

module.row.manu.quiet	規律正しく運営されている製造拠点だ。隠れ蓑としては優秀だが、特別な恩恵はない。
module.row.manu.cost.time	生産には時間のみを要する
module.row.manu.text	 {produceConsumeDays} 日ごと（ {produceConsumeTurns} ターン）
module.row.manu.text.mo	生産サイクル： {produceConsumeDays} 日ごと（ {produceConsumeTurns} ターン）

module.row.requirements	\n<b>必要条件：</b>\n

module.row.purchase.cost	\n<b>費用と資材</b>\nこの設営には以下のコストがかかる：
module.row.purchase.text	 {buildDays} 日間（ {buildTurns} ターン）
module.row.purchase.text.mo	建設時間： {buildDays} 日間（ {buildTurns} ターン）
module.row.purchase.ready-location	\n<i>（設営を進めるには、資材と現金を<b>この建物内の倉庫</b>に用意しておく必要があるぞ。）</i>

module.row.construction.text	残り {daysleft} 日（ {turnsleft} ターン）

module.row.vehicle-repair.empty	修理ベイを完備。ここで車両の修理が可能になる。

module.desc.mo.produce	生産： {restext}
module.desc.mo.consume	消費： {restext}
module.desc.mo.result	結果： {cashtext}
module.desc.mo.cost	費用： {cashtext}
module.desc.mo.cash	\n現在の所持金： {textOnHand}
module.desc.cash.symbol	$

module.desc.locname	<b>{name}</b>
module.desc.prod-details	\n<b>生産詳細：</b>
module.desc.op-details	\n<b>運営詳細：</b>
module.desc.sold	前ターンの販売数：
module.desc.last-prod	\n前回の生産：
module.desc.nothing	なし。

module.desc.short.produces	\n<indent=15><i>生産： {restext}</i></indent>
module.desc.short.uninteresting	\n<indent=15><i>生産：なし</i></indent>
module.desc.short.name	\n<indent=15><i>{name}</i></indent>
module.desc.inventory	\n<indent=15><i>容量： {capacity}</i></indent>

module.desc.vehicle.increase-car	乗用車の最大管理数を増加：
module.desc.vehicle.increase-truck	トラックの最大管理数を増加：

	;; フレーバー（表の商売）
module.flavor-newspapers.name	ニューススタンド
module.flavor-newspapers.desc	建物の正面にある、小さなありふれた新聞売り場だ。
module.flavor-candy-store.name	キャンディショップ
module.flavor-candy-store.desc	店内にはチョコレートや砂糖、ドライフルーツにナッツなど、魅惑的な菓子が並んでいる。
module.flavor-books.name	本屋
module.flavor-books.desc	建物の正面にある、小さな目立たない本屋だ。
module.flavor-drugs.name	薬局
module.flavor-drugs.desc	地元の薬剤師が、様々な薬品や治療薬を販売している。
module.flavor-shoes.name	靴修理店
module.flavor-shoes.desc	近所の靴職人が、靴の修理や既製品の販売を行っている。
module.flavor-hats.name	帽子屋
module.flavor-hats.desc	地元の仕立屋が、帽子の販売や修理を行っている質素な店だ。
module.flavor-jewelry.name	宝石店
module.flavor-jewelry.desc	宝石細工師が時計を直し、指輪を磨き、手頃な装飾品を売っている。
module.flavor-furniture.name	家具屋
module.flavor-furniture.desc	実用的な家具が、狭い店内にぎっしりと詰め込まれている。
module.flavor-flowers.name	花屋
module.flavor-flowers.desc	切り花や花束、鉢植えの植物が店先に並んでいる。
module.flavor-funeral.name	葬儀場
module.flavor-funeral.desc	人間、最後に行き着くビジネスの目的地だ。
module.flavor-clothing.name	衣料品店
module.flavor-clothing.desc	仕立て直しや修理、衣服の販売を行っている小さな店だ。
module.flavor-laundry.name	クリーニング店
module.flavor-laundry.desc	お堅い方の「洗濯（ランドリー）」を専門とする商売だ。
module.flavor-restaurant-small.name	小さなレストラン
module.flavor-restaurant-small.desc	地元の好みに合わせた料理を出す、小さな飲食店だ。
module.flavor-restaurant-medium.name	中規模レストラン
module.flavor-restaurant-medium.desc	近隣エリアから客を集める、それなりの規模の飲食店だ。
module.flavor-restaurant-large.name	高級レストラン
module.flavor-restaurant-large.desc	豪華な内装と清潔なリネンが、街中の金持ちたちを惹きつけている。
module.flavor-club.name	ナイトクラブ
module.flavor-club.desc	ダンスフロアに隠れ家のようなボックス席、そして長いバー。日が沈むと、この場所は熱を帯び始める。
module.flavor-cafe-small.name	小さなカフェ
module.flavor-cafe-small.desc	コーヒーと軽食を売っている小さなカフェだ。
module.flavor-soda-fountain.name	ソーダ・ファウンテン
module.flavor-soda-fountain.desc	ソーダ水やアイスクリームなど、リフレッシュできるメニューが揃っている。
module.flavor-deli.name	デリカテッセン
module.flavor-deli.desc	ソーセージやコールドカットなど、加工肉を販売している店だ。
module.flavor-barber.name	理髪店
module.flavor-barber.desc	手早い散髪と髭剃りに、近所の噂話がついてくる場所だ。
module.flavor-gas-station.name	ガソリンスタンド
module.flavor-gas-station.desc	給油ポンプがあり、簡単な修理も受け付けている。
module.flavor-car-shop-small.name	自動車整備工場
module.flavor-car-shop-small.desc	自動車の修理を行っている小さな作業場だ。
module.flavor-bowling.name	ボウリング場
module.flavor-bowling.desc	地元のリーグや社交場として使われているレーンだ。
module.flavor-bank	銀行
module.flavor-bank	資金を循環させ、金庫を満たし続ける金融機関だ。

	;; 密造酒の生産（ムーンシャイン）
module.production-homebooze-moonshine.name	裏部屋のムーンシャイン密造所
module.production-homebooze-moonshine.desc	飲用不可能な変性アルコールや工業用アルコールを、飲めるムーンシャインに変える。
module.production-homebooze-moonshine.details	工業用アルコールの箱と陶器瓶（クロック）が手に入れば、小規模な密造所を設営できるぞ。工業用をムーンシャインに精製したら、潜り酒場や密売人に売り捌け。
module.production-homebooze-moonshine-improved.name	強化ムーンシャイン密造所
module.production-homebooze-corn-moonshine-improved.name	強化ムーンシャイン蒸留器
module.production-homebooze-moonshine-improved.desc	通常の密造所より50%多くムーンシャインを生産する。
module.production-homebooze-corn-moonshine-improved.desc	通常の蒸留器より50%多くムーンシャインを生産する。
module.production-homebooze-moonshine-improved.details	培ったノウハウにより、ムーンシャインの生産能力が拡大されている。
module.production-homebooze-moonshine-dock.name	ガレージ内のムーンシャイン密造所
module.production-homebooze-corn-moonshine.name	裏部屋のトウモロコシ蒸留器
module.production-homebooze-corn-moonshine.desc	この地域では、安価なトウモロコシを単純な蒸留器にかけてムーンシャインを造るのが一般的だ。
module.production-homebooze-corn-moonshine.details	地元の知恵とオハイオ川沿いの豊かな穀物取引のおかげで、ありふれた材料から簡単にムーンシャインを造り出せるぞ。
module.production-homebooze-rye-moonshine.name	裏部屋のポットスチル（ライ麦）
module.production-homebooze-rye-moonshine.desc	ライ麦とコーンシロップを使い、ムーンシャインのボトルを次々と生産する。
module.production-homebooze-rye-moonshine.details	世界最大の都市の工業力といえど、禁酒法には勝てん。法制定以来、街中にポットスチル（単式蒸留器）が乱立した。これを使えば、ありふれた穀物をムーンシャインに変えられる。
module.production-homebooze-grain-moonshine.name	拡張型ポットスチル
module.production-homebooze-grain-moonshine.desc	ライ麦に加え、小麦を使ってムーンシャインを造ることができる。
module.production-homebooze-grain-moonshine.details	さらなる改良を重ねたことで、ライ麦だけでなく小麦も原料として扱えるようになった。

	;; 密造酒の生産（サイダー・ビール・ワイン）
module.production-homebooze-cider.name	裏部屋のサイダー密造所
module.production-homebooze-cider.desc	ありふれたリンゴジュースを「ハードサイダー（リンゴ酒）」に変える。
module.production-homebooze-cider.details	リンゴジュースを確保できれば、小規模な醸造所を運営できる。酵母を加えて数週間待つだけで、人々を酔わせるサイダーの完成だ。
module.production-homebooze-cider-improved.name	強化サイダー密造所
module.production-homebooze-cider-improved.desc	通常の密造所より50%多くハードサイダーを生産する。
module.production-homebooze-cider-improved.details	ノウハウの蓄積により、ハードサイダーの生産効率が向上している。
module.production-homebooze-cider-dock.name	ガレージ内のサイダー密造所
module.production-homebooze-home-brew.name	裏部屋の自家製ビール醸造所
module.production-homebooze-home-brew.desc	麦芽シロップと水、そして時間があればビールのような何かが出来上がる。
module.production-homebooze-home-brew.details	説明書きには「絶対に麦芽シロップと水を大きな容器に入れて放置するな」とあるが……もちろん、放置すれば発酵してビールになる。
module.production-homebooze-home-brew-improved.name	強化自家製ビール醸造所
module.production-homebooze-home-brew-improved.desc	通常の醸造所より50%多くビールを生産する。
module.production-homebooze-home-brew-improved.details	蓄積された知恵により、ビールの生産能力が強化されている。
module.production-homebooze-home-brew-dock.name	ガレージ内の自家製ビール醸造所
module.production-homebooze-brick-wine.name	裏部屋のレンガ・ワイン醸造所
module.production-homebooze-brick-wine.desc	濃縮ブドウ液と水があれば、ワインのような何かが出来上がる。
module.production-homebooze-brick-wine.details	濃縮ブドウ液自体は合法だが、水を加えて放置すれば「違法」なアルコールに変わる。くれぐれも注意（期待）して扱うんだな。
module.production-homebooze-brick-wine-improved.name	強化レンガ・ワイン醸造所
module.production-homebooze-brick-wine-improved.desc	通常の醸造所より50%多くワインを生産する。
module.production-homebooze-brick-wine-improved.details	生産体制の最適化により、レンガ・ワインの収穫量が増加している。
module.production-homebooze-brick-wine-dock.name	ガレージ内のレンガ・ワイン醸造所

	;; ガレージ併設型
module.production-homebooze-dock.desc	この密造所にガレージを併設し、組織のトラック管理能力を強化した。
module.production-homebooze-dock.details	裏部屋を小さなガレージにアップグレードする。これで配送トラックをもう一台運用できるようになるが、ガレージとして機能している間は、それ以上の設備強化はできんぞ。

	;; その他（アップルジャック・ブランデーなど）
module.production-homebooze-apple-jack-b.name	裏部屋のアップルジャック密造所（リンゴ原料）
module.production-homebooze-apple-jack-a.name	裏部屋のアップルジャック密造所（ジュース原料）
module.production-homebooze-apple-jack.desc	「ジャッキング（凍結蒸留）」と呼ばれる手法で、リンゴのブランデーを造る。
module.production-homebooze-apple-jack.details	ジャッキングは、氷や雪の冷気を利用してアルコール分を抽出する古い技術だ。加熱蒸留より時間はかかるが、手軽で安上がりな上、爆発の心配もまったくない。
module.production-homebooze-apple-jack-improved.name	強化アップルジャック密造所
module.production-homebooze-apple-jack-improved.details	アップルジャックの生産量はそのままに、副産物としてハードサイダーも生産して販売できるようになる。
module.production-homebooze-apple-jack-improved.desc	アップルジャックに加え、ハードサイダーも生産
;; リソース供給源

module.source-neutral-alcohol.desc	この店は合法的にアルコールを使用しているが、時々在庫が「紛失」することがあるようだ。
module.source-apple-juice.name	リンゴジュース販売中
module.source-apple-juice.desc	この店はリンゴジュースを製造している。お前がそれをどう使うつもりか、野暮な質問はしてこない。
module.source-malt-small.name	麦芽シロップあり
module.source-malt-small.desc	この店は、手元にある余分な麦芽シロップを譲ってくれる気があるようだ。
module.source-grape-juice.name	濃縮ブドウ液販売中
module.source-grape-juice.desc	ここでは濃縮ブドウ液を売っている。水と混ぜて数週間放置したりしないよう、くれぐれも「注意」してくれ。
module.source-paper-small.name	紙の卸売所
module.source-paper-small.desc	様々な用途に使えるロール紙が手に入る。
module.conversion-apple-juice.name	リンゴ圧搾機
module.conversion-apple-juice.desc	他所から買う代わりに、自前でリンゴジュースを造る。
module.conversion-apple-juice.details	圧搾機を設置して、リンゴをジュースやソフトサイダーに変える。それをさらに発酵させれば、拡大中の流通網で売り捌くための「ハードサイダー」が手に入る。
module.conversion-apple-juice-improved.name	強化リンゴ圧搾機
module.conversion-apple-juice-improved.desc	通常の圧搾機より50%多くリンゴジュースを生産する。
module.conversion-grape-juice.name	ブドウ圧搾機
module.conversion-grape-juice.desc	カリフォルニアからの輸入に頼らず、自前で濃縮ブドウ液を造る。
module.conversion-grape-juice.details	圧搾機を導入して、ブドウを濃縮液に変える。これを自家製ワインに仕上げれば、潜り酒場や密売ルートに流すことができるぞ。
module.conversion-grape-juice-improved.name	強化ブドウ圧搾機
module.conversion-grape-juice-improved.desc	通常の圧搾機より50%多く濃縮液を生産する。
module.fruit-store-small.name	果物屋
module.fruit-store-small.desc	多種多様な果物を扱っている小さな店だ。
module.source-materials-small.name	金物屋
module.source-materials-small.desc	棚や通路に建築資材がぎっしりと詰め込まれている小さな店だ。
module.source-tobacco-small.name	小規模タバコ密売所
module.source-tobacco-small.desc	タバコの産地にツテがあり、正規の流通ルートを通さない未加工のタバコを運び込んでいる。
module.source-dairy-small.name	地元の乳製品店
module.source-dairy-small.desc	牛乳やクリーム、チーズを売っている。……それと、空き瓶も手に入るかもしれん。
module.source-dairy-medium.name	大規模乳製品店
module.source-dairy-medium.desc	地元の店舗にチーズや牛乳、アイスクリームなどを卸している大きな店だ。

	;; 裏部屋の密売（ブートレッガー）

module.bootlegger-home-brew.name	裏部屋の密売所
module.bootlegger-home-brew.desc	近所の連中に少量の自家製酒を売るシノギだ。潜り酒場とは違い、その場で買って帰るスタイルだ。大金は稼げないが、サツに目を付けられる心配もほとんどない。
module.bootlegger-home-brew-return.desc	蒸気消毒器を導入したことで、空になった陶器瓶（クロック）を再利用できるようになった。
module.bootlegger-home-brew-return.details	配管を整備して小型の消毒ユニットを設置する。これで、中身を飲み干した後の陶器瓶を回収して使い回せるぞ。
module.bootlegger-home-brew-brick-wine.name	裏部屋のワイン密売所
module.bootlegger-home-brew-brick-wine-return.name	強化裏部屋ワイン密売所
module.bootlegger-home-brew-brick-wine.desc	近所の連中にレンガ・ワインを売る。目立たず、着実に小銭を稼ぐシノギだ。
module.bootlegger-home-brew-cider.name	裏部屋のサイダー密売所
module.bootlegger-home-brew-cider-return.name	強化裏部屋サイダー密売所
module.bootlegger-home-brew-cider.desc	近所の連中にハードサイダーを売る。細く長く続けるにはもってこいだ。
module.bootlegger-home-brew-apple-jack.name	裏部屋のアップルジャック密売所
module.bootlegger-home-brew-apple-jack-return.name	強化裏部屋アップルジャック密売所
module.bootlegger-home-brew-apple-jack.desc	近所の連中にアップルジャックを売る。強い酒を求める客には最適だ。
module.bootlegger-home-brew-fruit-wine.name	裏部屋のフルーツワイン密売所
module.bootlegger-home-brew-fruit-wine.desc	近所の連中に自家製フルーツワインを売る。
module.bootlegger-home-brew-homemade-brandy.name	裏部屋のブランデー密売所
module.bootlegger-home-brew-homemade-brandy.desc	近所の連中に自家製ブランデーを売る。
module.bootlegger-home-brew-home-brew.name	裏部屋のビール密売所
module.bootlegger-home-brew-home-brew-return.name	強化裏部屋ビール密売所
module.bootlegger-home-brew-brick-wine.desc	近所の連中に自家製ビールを売る。定番の売れ筋だ。
module.bootlegger-home-brew-moonshine.name	裏部屋のムーンシャイン密売所
module.bootlegger-home-brew-moonshine-return.name	強化裏部屋ムーンシャイン密売所
module.bootlegger-home-brew-moonshine.desc	近所の連中にムーンシャインを売る。
module.bootlegger-homebooze-upgrade.name	拡張型自家製酒密売所
module.bootlegger-homebooze-upgrade.desc	数種類の自家製酒を扱う、少し規模の大きい密売所だ。
module.bootlegger-homebooze-upgrade-one.details	テーブルと椅子を配置して、喉を鳴らした地元民にレンガ・ワインとハードサイダーの両方を売り捌く。
;; （upgrade-twoからeightteenまでも、同様に指定の2種類の酒を売るためのアップグレード詳細）

module.bootlegger-home-brew.details	ここで自家製酒を売る密売所を設立する。潜り酒場と違って持ち帰り専門だ。リスペクトには影響しないが、構造が単純な分、街角の酒場より利益が出やすいぞ。

	;; 潜り酒場（スピークイージー）と社交場

module.source-bottles-small.name	空き瓶供給源
module.source-bottles-small.desc	店の裏に空き瓶が山積みになっている。入り用なら、交渉して引き取らせてもらおう。
module.corner-speakeasy.name	街角の潜り酒場
module.corner-speakeasy.desc	質素な木のカウンターにあり合わせのグラス、そして酒を隠す場所さえあれば十分だ。あらゆる自家製酒を客に出すぞ。
module.corner-speakeasy.details	自家製酒を出す酒場へアップグレードする。カウンターを追加し、スペースを広げるぞ。
module.corner-speakeasy-upgraded-a.name	拡張酒場：ビア＆ワインガーデン
module.corner-speakeasy-upgraded-a.desc	ビールとワインを専門に扱う、地元民の憩いの場だ。
module.corner-speakeasy-upgraded-a.details	この裏部屋を「ビア＆ワインガーデン」に改装すれば、さらに多くのワインとビールを捌けるようになる。客足も伸び、回転率も上がるぞ。
module.corner-speakeasy-upgraded-b.name	拡張酒場：ダイブバー
module.corner-speakeasy-upgraded-b.desc	スパークリング・サイダーとバスタブ・ジンを出す、少し荒っぽいが人気の酒場だ。
module.corner-speakeasy-upgraded-b.details	氷で冷やしたサイダーと、柑橘類で飲みやすくしたバスタブ・ジンを供給する。規模を広げれば、その分上がりもデカくなるぞ。
module.small-speakeasy.name	小さな潜り酒場
